Species,Owner,Country,Farm.Name,Lot.Number
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,ethiopia commodity exchange,Ethiopia,,
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,
Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,6133
Arabica,racafe & cia s.c.a,Colombia,,3-37-1829
Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-180
Arabica,"el equimite, cafetal biodin??mico",Mexico,various,Mezcla Veracruz 01
Arabica,simon mahinda,Kenya,,CN 11462 AA
Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,
Arabica,nucoffee,Brazil,sit??o s??o geraldo,
Arabica,young kim,Mexico,kassandra,
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,
Arabica,carl walker,Guatemala,la igualdad,
Arabica,racafe & cia s.c.a,Colombia,,3-37-0277
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,"lin, che-hao krude ?????????",Taiwan,baishengcun coffee ?????????????????????,
Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",hasambo amcos,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,artemio zapata tejeda,Mexico,el suspiro,
Arabica,nucoffee,Brazil,fazenda grota funda,
Arabica,nucoffee,Brazil,sitio claro,
Arabica,brian speckman,Kenya,,
Arabica,"lin, che-hao krude ?????????",Taiwan,shi fang yuan ?????????,2016 Tainan Coffee Cupping Event Micro Lot ???????????????????????????
Arabica,kawacom uganda ltd,Uganda,mt.elgon bugisu shamba 2,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,
Arabica,philip schluter,Ethiopia,contact | sidacoop@ethionet.net,
Arabica,???????????? koju matsuzawa,Thailand,matsuzawa coffee,MCTFHMG15/16
Arabica,lydiah mwangi,Kenya,karatina,
Arabica,cadexsa,Honduras,cerro bueno,
Arabica,the coffee source inc.,El Salvador,several,
Arabica,grounds for health admin,Nicaragua,santa martha,
Arabica,consejo salvadore??o del caf??,El Salvador,monterrey,???-71
Arabica,sanjava coffee,Indonesia,sran temanggung plantation,1
Arabica,???????????? koju matsuzawa,Japan,ada farm,MCRKPBG 15/16
Arabica,rodrigo soto,Costa Rica,rio jorco,Tarrazu
Arabica,juan luis alvarado romero,Guatemala,san diego buena vista,11/08/0109
Arabica,fabian calderon mora,Costa Rica,coopetarraz??,
Arabica,essencecoffee,Ethiopia,moplaco,
Arabica,essencecoffee,Costa Rica,finca salaca las brisas,
Arabica,eric thormaehlen,Costa Rica,various,
Arabica,rob tuttle,Costa Rica,,
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,dragon ?????????,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,dream together,Kenya,,
Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,
Arabica,juan luis alvarado romero,Guatemala,valparaiso,
Arabica,organizaciones de productores de cafe colimense,Mexico,"el nogal, la higuera, los laureles",
Arabica,afca,Uganda,,
Arabica,benjamin schmerler,Peru,,
Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,
Arabica,jungle estate,Kenya,jungle estate,10NG0093
Arabica,racafe & cia s.c.a,Colombia,,3-37-1724
Arabica,racafe & cia s.c.a,Colombia,,3-37-1291
Arabica,daniel magu,Kenya,blend,
Arabica,juan luis alvarado romero,Guatemala,el morito,
Arabica,juan luis alvarado romero,Guatemala,el papaturro,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,taylor winch (coffee) ltd.,Kenya,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,lusso lab,Costa Rica,la chaparral,
Arabica,exportadora de cafe condor s.a,Colombia,various,
Arabica,nucoffee,Brazil,fazenda recreio,
Arabica,nucoffee,Brazil,fazenda vista alegre,
Arabica,max gurdian,Costa Rica,,S015.367
Arabica,ecom japan limited,Uganda,kawacom sipi project,035/170/5071146????????????
Arabica,yunnan coffee exchange,China,menglian ban???an coffee processing factory,YNC-16018
Arabica,fabian calderon mora,Costa Rica,coopetarraz??,
Arabica,federacion nacional de cafeteros,Colombia,,
Arabica,eric wu,China,"puer jiangcheng fuwang coffee biotechnology co., ltd",
Arabica,juan luis alvarado romero,Guatemala,el sacramento,
Arabica,dream together,Kenya,rumukia farmers,
Arabica,maria imelda uscanga martinez,Mexico,la barranca,
Arabica,alfredo bojalil,Mexico,finca el retiro,
Arabica,juan luis alvarado romero,Guatemala,nueva granada,
Arabica,daniel friedlander,Brazil,,
Arabica,alexandra katona-carroll,Brazil,,
Arabica,max gurdian,Costa Rica,several farmers,5-0015-0231
Arabica,aulia arif syahri,Indonesia,darmawi,MANDHELING BRASTAGI
Arabica,carcafe ltda ci,Colombia,,3-59-0318
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,kao ming lee,Taiwan,tropica galliard,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,maria amalia guadalupe toriello elorza,Mexico,finca la chiripa,
Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,
Arabica,lydiah mwangi,Kenya,kigwandi,K25159
Arabica,bismarck castro,Honduras,las cuchillas,152
Arabica,ra??l vargas,Colombia,,1
Arabica,bismarck castro,Honduras,los hicaques,76
Arabica,racafe & cia s.c.a,Colombia,,3-37-1704
Arabica,carcafe ltda ci,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,victor hugo melchor cordova,Mexico,la distancia,
Arabica,nucoffee,Brazil,santa alina,
Arabica,nucoffee,Brazil,fazenda baipendi,
Arabica,benjamin schmerler,Ethiopia,,
Arabica,the coffee source inc.,Guatemala,las minas,
Arabica,"lin, che-hao krude ?????????",Taiwan,???????????? good mood coffee,2017?????????????????? NANTOU COFFEE EVALUATION EVENT 2017
Arabica,???????????? koju matsuzawa,Thailand,matsuzawa coffee,MCCRNX115/16
Arabica,carcafe ltda ci,Colombia,,3-59-3461
Arabica,juan luis alvarado romero,Guatemala,finca medina,11/11711/59
Arabica,juan luis alvarado romero,Guatemala,finca san vicente,11/52/709
Arabica,yunnan coffee exchange,China,menglian county nayun town mangzhang coffee farm,YNC-16017
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,federacion nacional de cafeteros,Colombia,,
Arabica,carcafe ltda ci,Colombia,,
Arabica,tembo coffee company ltd,"Tanzania, United Republic Of",jacksom mwasenga,
Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",suma jkt itende,
Arabica,juan luis alvarado romero,Guatemala,el papaturro,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,jesus salazar velasco,Mexico,pante carajillo,
Arabica,manuel herrera juarez,Mexico,finca los barreales,
Arabica,alfredo bojalil,Mexico,finca santa teresa,
Arabica,afca,Uganda,,
Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0365
Arabica,racafe & cia s.c.a,Colombia,,3-37-3825
Arabica,wayner jimenez,Costa Rica,los girasoles,EC-1180
Arabica,juan luis alvarado romero,Guatemala,finca la joya,11/52/1170
Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,11/752/01
Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0335
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,cooperativa el gorrion r.l,Nicaragua,las nubes,
Arabica,cafebras,Brazil,pantano,
Arabica,"ceca, s.a.",Costa Rica,gamboa,
Arabica,asefa dukamo keroma,Ethiopia,asefa dukamo coffee plantation,
Arabica,selian coffee estate,"Tanzania, United Republic Of",selian coffee estate,
Arabica,olam agro colombia,Colombia,,
Arabica,chris finch,Guatemala,,
Arabica,itochu corporation,Kenya,,
Arabica,owen carver,Brazil,caf?? do para??so,
Arabica,juan luis alvarado romero,Guatemala,la union monte verde,
Arabica,atlantic specialty coffee,El Salvador,el majahual,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,el limon,
Arabica,afca,Uganda,,
Arabica,pt.royal pacific indah international,Indonesia,"mus, eman",1
Arabica,carcafe ltda ci,Colombia,,3-59-0503
Arabica,"lin, che-hao krude ?????????",Taiwan,chang yu liang ?????????,2016 Tainan Coffee Cupping Event Micro Lot ???????????????????????????
Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0178
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,lusso lab,Guatemala,aprocafi,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,andres martinez leon,Mexico,la lagunilla,
Arabica,steven kil,Ethiopia,,
Arabica,amanda powers,Costa Rica,,CR-3
Arabica,kyagalanyi coffee ltd,Ethiopia,kerchanshe,S3/01/2017
Arabica,bismarck castro,Honduras,las cuchillas,96
Arabica,juan luis alvarado romero,Guatemala,finca los cerros y anexos,
Arabica,olam agro colombia,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,el papaturro,
Arabica,juan luis alvarado romero,Guatemala,el papaturro,
Arabica,olam agro colombia,Colombia,,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,lusso lab,Ethiopia,,
Arabica,ipanema coffees,Brazil,fazenda rio verde,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,ibero kenya limited,Kenya,,
Arabica,doi tung development project,Thailand,doi tung development project,
Arabica,taylor winch (coffee) ltd.,Kenya,-,
Arabica,afca,Uganda,,
Arabica,doi tung development project,Thailand,doi tung development project,
Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17
Arabica,cafes tomari sa de cv,Mexico,cafetal,101
Arabica,sarawut premjit,Thailand,saveg coffee farm,INT-2015
Arabica,ipanema coffees,Brazil,capoeirinha,007/16E
Arabica,"lin, che-hao krude ?????????",Taiwan,tsoustructive garden ?????????,Tsoustructive 2015 Typica
Arabica,carcafe ltda ci,Colombia,,3-59-1772
Arabica,almacafe,Colombia,,3-37-1606
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,very famous intl.????????????????????????????????????,
Arabica,federacion nacional de cafeteros,Colombia,,
Arabica,federacion nacional de cafeteros,Colombia,,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,???????????????,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,oscar ortega carballo,Mexico,finca cuetzalingo,
Arabica,alfredo bojalil,Mexico,finca sant rosa,
Arabica,organizaciones de productores de cafe colimense,Mexico,comunidad la yerbabuena,
Arabica,carcafe ltda ci,Colombia,,3-59-2888
Arabica,racafe & cia s.c.a,Colombia,,3-37-2112
Arabica,"ceca, s.a.",Costa Rica,gamboa,8039
Arabica,juan luis alvarado romero,Guatemala,finca medina,11/11711/60
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,??????????????????????????????yuyupas international corp.,1
Arabica,ipanema coffees,Brazil,rio verde,
Arabica,"lin, che-hao krude ?????????",Taiwan,???????????? hometown coffee,
Arabica,yasmin cofffee plantation plc,Ethiopia,,
Arabica,ipanema coffees,Brazil,rio verde,
Arabica,eric thormaehlen,Costa Rica,various,
Arabica,juan luis alvarado romero,Guatemala,el papaturro,
Arabica,ipanema coffees,Brazil,fazenda rio verde,
Arabica,garet alban,Ecuador,finca el trueno,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,finca el morito,
Arabica,filemon mendoza campos,Mexico,predio ca??ada del encino,
Arabica,alfredo bojalil,Mexico,finca santa teresa,
Arabica,jacques pereira carneiro,Brazil,fazenda do sertao,
Arabica,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",
Arabica,doi tung development project,Thailand,doi tung development project,
Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",
Arabica,kennedy macharia,Kenya,,sc 9693
Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17
Arabica,carcafe ltda ci,Colombia,,3-59-0075
Arabica,"lin, che-hao krude ?????????",Taiwan,?????????????????? (kan tou mountain coffee),2017????????????????????????????????? Specialty Coffee Evaluation of Tainan 2017
Arabica,racafe & cia s.c.a,Colombia,,3-37-1510
Arabica,yunnan coffee exchange,China,pu???er specialty coffee cupping center,YNC-16063
Arabica,carcafe ltda ci,Colombia,,
Arabica,nile highland arabica coffee farmers,Uganda,erussi farmers group,
Arabica,german negron,United States (Puerto Rico),hacienda caracolillo,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,olam agro colombia,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,saul m. hernandez ramirez,Mexico,naranjal,
Arabica,the coffee source inc.,Guatemala,several farms,
Arabica,carcafe ltda ci,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17
Arabica,kennedy macharia,Kenya,,SC 9634
Arabica,bismarck castro,Honduras,los hicaques,103
Arabica,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,606118 / K1730101
Arabica,ipanema coffees,Brazil,capoeirinha,008/16A
Arabica,"lin, che-hao krude ?????????",Taiwan,tsoustructive garden ?????????,Tsoustructive 2015 Caturra
Arabica,"ceca, s.a.",Costa Rica,,8062-1
Arabica,doi tung development project,Thailand,,
Arabica,rob stephen,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,finca las cuevitas,
Arabica,exportadora de cafe condor s.a,Colombia,various,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,la union monte verde,
Arabica,juan luis alvarado romero,Guatemala,el sacramento,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,the coffee source inc.,Guatemala,finca quequesquez,
Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,
Arabica,juan luis ortega carballo,Mexico,finca apoxtla,
Arabica,ekai international company ltd.,Indonesia,"ijen highland, east java",
Arabica,juan luis alvarado romero,Guatemala,finca medina,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17
Arabica,juan luis alvarado romero,Guatemala,finca santa clara,11/52/1170
Arabica,racafe & cia s.c.a,Colombia,,3-37-2548
Arabica,yunnan coffee exchange,China,menglian mang pan professional cooperative,YNC-16029
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,andreas kussmaul,Mexico,exportadora caf?? california,
Arabica,essencecoffee,Ethiopia,lomi tasha,
Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,dragon coffee ?????????,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,alfredo bojalil,Mexico,ojo de agua,
Arabica,carcafe ltda ci,Colombia,,
Arabica,nucoffee,Brazil,fazenda jeric??,
Arabica,carcafe ltda ci,Colombia,,3-59-1695
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,????????????????????????????????????63-1???,2
Arabica,"ceca, s.a.",Costa Rica,,8038
Arabica,carcafe ltda ci,Colombia,,3-59-1919
Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0145
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,damari absalome,"Tanzania, United Republic Of",ano family,
Arabica,aulia arif syahri,Indonesia,yusrin,
Arabica,debesa agro industry plc,Ethiopia,,
Arabica,federacion nacional de cafeteros,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,the coffee source inc.,Guatemala,several,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,,Honduras,los hicaques,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,manuel herrera juarez,Mexico,finca los barreales 1112lban,
Arabica,miguel cortes moreno,Mexico,,
Arabica,gabriel bernardo rivas ross,Mexico,la corralera,
Arabica,juan luis alvarado romero,Guatemala,santo tomas pachuj,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,felipe isaza,Guatemala,conquista / morito,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,specialty coffee association of indonesia,Indonesia,pancoer angkrek,
Arabica,carcafe ltda ci,Colombia,,3-59-0504
Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0696
Arabica,carcafe ltda ci,Colombia,,3-59-2318
Arabica,"ceca, s.a.",Costa Rica,gamboa,8885
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,?????????????????????,1
Arabica,bugisu cooperative union,Uganda,bulago & buginyanya,5055
Arabica,???????????? koju matsuzawa,Thailand,matsuzawa coffee,MCCFWXA15/16
Arabica,consejo salvadore??o del caf??,El Salvador,la joya,73
Arabica,carcafe ltda ci,Colombia,,
Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,
Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,el papaturro,
Arabica,juan luis alvarado romero,Guatemala,finca medina,
Arabica,juan luis alvarado romero,Guatemala,el morito,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,exportadora de cafe condor s.a,Colombia,various,
Arabica,federacion nacional de cafeteros,Colombia,,
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,
Arabica,doi tung development project,Thailand,doi tung development project,
Arabica,grounds for health admin,Mexico,,
Arabica,exportadora de cafe condor s.a,Colombia,various,68-0054
Arabica,racafe & cia s.c.a,Colombia,,3-37-3729
Arabica,racafe & cia s.c.a,Colombia,,3-37-2623
Arabica,ipanema coffees,Brazil,rio verde,
Arabica,andreas kussmaul,Mexico,ecc,
Arabica,exportadora de cafe condor s.a,Colombia,various,
Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,
Arabica,j.andrade,Mexico,el pino,
Arabica,the coffee source inc.,Costa Rica,several,
Arabica,eileen koyanagi,United States (Hawaii),,
Arabica,eric thormaehlen,Costa Rica,several,
Arabica,dane loraas,Peru,,
Arabica,itiah coffee llc,Haiti,marre blanche,
Arabica,carcafe ltda ci,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,el sacramento,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,steven kil,Burundi,sogestal kayanza,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,cafe de don balbino s.c. de r.l. de c.v.,Mexico,corta pico,2016-2017-1
Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-181
Arabica,rodrigo soto,Costa Rica,coopellanobonito,s16292
Arabica,juan luis alvarado romero,Guatemala,linda vista,11-973-152
Arabica,kawacom uganda ltd,Uganda,kawacom uganda ltd sipi farmers group,035/170/5061178
Arabica,bourbon specialty coffees,Brazil,,43102245 - P4615
Arabica,carcafe ltda ci,Colombia,,
Arabica,productos y servicios chilindron s.a. de c.v.,Mexico,los charcos,
Arabica,"lin, che-hao krude ?????????",Taiwan,sunshine valley estate ??????????????????,
Arabica,cqi taiwan icp cqi??????????????????,Taiwan,????????????,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,juan luis alvarado romero,Guatemala,finca medina,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,calixto guillen vazquez,Mexico,various,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,ernesto rodriguez luna,Mexico,finca teocelo,
Arabica,modesto landeros flores,Mexico,mata larga,
Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,
Arabica,nucoffee,Brazil,??gua limpa,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,ipanema coffees,Brazil,fazenda capoeirnha,019/17
Arabica,juan luis alvarado romero,Guatemala,beneficio el torreon,11/23/0673
Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",mamsera,AA
Arabica,andrea bernal,Peru,,1
Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,Oriental Paris Natural Coffee
Arabica,juan luis alvarado romero,Guatemala,finca medina,11/11711/58
Arabica,cadexsa,Honduras,bethel,427
Arabica,yunnan coffee exchange,China,chen lin,YNC-16056
Arabica,yunnan coffee exchange,China,yunnan success trade co.ltd,YNC-16028
Arabica,consejo salvadore??o del caf??,El Salvador,agua caliente,1
Arabica,juan luis alvarado romero,Guatemala,finca medina,
Arabica,juan luis alvarado romero,Guatemala,"la esperanza, margarita nuyes",
Arabica,taylor winch (coffee) ltd.,Kenya,,
Arabica,doi tung development project,Thailand,,
Arabica,tutunze kahawa ltd,"Tanzania, United Republic Of",myanganyanga,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,kabum trading company,Uganda,kaptanya,
Arabica,cafe politico,Colombia,unkown,
Arabica,mayra yessenia torres,Honduras,el cerron,
Arabica,,Honduras,los hicaques,
Arabica,juan luis alvarado romero,Guatemala,nueva granada,
Arabica,eileen koyanagi,United States (Hawaii),,
Arabica,balam hinyula,"Tanzania, United Republic Of",,
Arabica,juan luis alvarado romero,Guatemala,finca el morito,
Arabica,nestor mendez gomez,Mexico,santa cecilia,
Arabica,saul m. hernandez ramirez,Mexico,tlapacoya,
Arabica,saul m. hernandez ramirez,Mexico,la loma,
Arabica,racafe & cia s.c.a,Colombia,,
Arabica,fernando mendoza aparicio,Mexico,el mirador,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,alfredo bojalil,Mexico,finca nueva linda,
Arabica,nucoffee,Brazil,campo das flores,
Arabica,nucoffee,Brazil,s??o francisco da serra,
Arabica,felipe isaza,Guatemala,conquista / morito,
